"Tabla 18. Estructura empresarial Medellín, según comunas y actividad económica (Total empresas)",,,,,,Volver al índice,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CIIU,Descripción,ALTAVISTA,ARANJUEZ,BELEN,BUENOS AIRES,CASTILLA,DOCE DE OCTUBRE,EL POBLADO,GUAYABAL,LA AMERICA,LA CANDELARIA,LAURELES,MANRIQUE,PALMITAS,POPULAR,ROBLEDO,SAN ANTONIO DE PRADO,SAN CRISTOBAL,SAN JAVIER,SANTA CRUZ,SANTA ELENA,VILLA HERMOSA,Sin Georreferenciar,Total
2816,Fabricación de equipo de elevación y manipulación,,,3,,1,,,7,,3,,1,,,1,,,,,,,,16
2817,Fabricación de maquinaria y equipo de oficina (excepto computadoras y equipo periférico),,,,,,1,,1,,1,,,,,1,,,,,,,,4
2818,Fabricación de herramientas manuales con motor,,,,,,,,1,,,,,,,,,1,,,,,,2
2819,Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p.,,2,2,2,7,2,8,11,4,16,4,1,,,3,2,,,,1,1,,66
2821,Fabricación de maquinaria agropecuaria y forestal,,,1,,,,2,,1,1,1,,,1,,,,,,,,,7
2822,Fabricación de máquinas formadoras de metal y de máquinas herramienta,,,,,1,,1,3,1,1,,,,,,,1,,,,,,8
2823,Fabricación de maquinaria para la metalurgia,,,,,,,,3,,,,,,,,,,,,,,,3
2824,Fabricación de maquinaria para explotación de minas y canteras y para obras de construcción,,,,,,,3,2,,,2,,,,,,,,1,,,,8
2825,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",1,1,1,,2,,,2,,3,1,,,,,,,,,,,,11
2826,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros",,,,1,,,1,3,,4,,,,,,1,,,,,,,10
2829,Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p.,,1,2,,4,,7,12,1,5,5,,,,,1,1,,,,,,39
2910,Fabricación de vehículos automotores y sus motores,,,,,,,1,2,,,,,,,,,,,,,,,3
